keyword,rank,count,keywords,ranks,counts
,,,"['Arabic voice recognition', 'OpenSource CMU Sphinx', 'CMU Sphinx', 'view', 'CMU Sphinx-4', 'HMMs', 'ASR', 'Recognition System', 'CMU', 'Sphinx', 'discrete\nHidden Markov Models', 'the Carnegie Mellon University', 'Arabic', 'the speech recognition problem\npoint', 'an Arabic Automated Speech\nRecognition System', 'utilities', 'a large-vocabulary;\nspeaker-independent, continuous speech recognition system', 'the\nOpenSource CMU Sphinx', 'the open source', 'This system', 'a novel approach', 'the possible adaptability', 'this\nsystem', 'a model', 'this paper', 'We']","[0.13509003095262032, 0.11775930312087797, 0.113544850224267, 0.11127395040359468, 0.10755758259500425, 0.10595716465700358, 0.09967697401418217, 0.09803324732578464, 0.09056349850092545, 0.07938664798491309, 0.07699528997661896, 0.07565188749449694, 0.07510814479522407, 0.07370754392664307, 0.06080971799140235, 0.05904012922544688, 0.05750539521829485, 0.05139437336539741, 0.04394131610768795, 0.043042137190605484, 0.034542585842777744, 0.034542585842777744, 0.031256527598323106, 0.021248895093723807, 0.018640630769092052, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3]"
,,,"['Artificial intelligence', 'Arabic voice recognition', 'discrete hidden Markov models', 'Arabic language', 'Acoustic model', 'ASR', 'Speech recognition', 'Arabic', 'HMMs', 'CMUSphinx-4', 'Automated\nSpeech Recognition System', 'the Carnegie Mellon University', 'Markov', 'Acoustic', 'Sphinx-4', 'an Arabic version', 'the model', 'a speech recognition\nsystem', 'Keywords', 'the open source', 'This system', 'the creation', 'this paper', 'the\nchanges', 'We', 'Which', 'that', 'we']","[0.16390104915492326, 0.1565809594845955, 0.13786455579683135, 0.1333872007204873, 0.1294708354752874, 0.11939108364081369, 0.11638338116785421, 0.11580366459692173, 0.11195497657725743, 0.09435060203212862, 0.08571102433644584, 0.08090200703911399, 0.07590240458989991, 0.07189112280949023, 0.07149845508391076, 0.0681815165510068, 0.054041368558428594, 0.05220522482533554, 0.04532259999285915, 0.04459769453695779, 0.03071227773155118, 0.026864602550498468, 0.02093361224500077, 0.017221031158545418, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['existing text entry evaluation metrics', 'text entry', 'Hick', 'Chinese text', 'Hicks law', 'Chinese text\nentry evaluation', 'Fitts law', 'different context lengths', 'information theory', 'Chinese', 'Chinese\ntext input methods', 'correction', 'cost', 'the minimum string distance error rate', 'an automated evaluation metric', 'character', 'keystrokes', 'Current methods', 'Fitts', 'MacKenzie', 'P', 'accuracy', 'speed', 'the correction penalty', 'AAC', 'a new metric', 'possible improvements', 'a unified approach', 'human\nfactors', 'the special characteristics', 'the approximate\namortized cost', 'an integrated concern', 'the bias', 'the AAC', 'An analysis', 'Our goal', 'this paper', 'First', 'We', 'it', 'that', 'they', 'we']","[0.14430765408144638, 0.13181520746402203, 0.12859027626500033, 0.12572643170825257, 0.11068704774184615, 0.09540139785426789, 0.09483552589444026, 0.08547333702159216, 0.08336417501087429, 0.08169179993081471, 0.07973397404145204, 0.07688758173712841, 0.07408814071759114, 0.07372826376192557, 0.06790208803387972, 0.06751372045390137, 0.06728341552600015, 0.06313595142374309, 0.05919524377335048, 0.056340341511753364, 0.05603001860159091, 0.05372536152822694, 0.05180097228057137, 0.047388934835654595, 0.04707290589265308, 0.04663392950797925, 0.045241179485563804, 0.042248468693889187, 0.04053119289192511, 0.03960903254970574, 0.0333630729494028, 0.032664317920686164, 0.016615936188156117, 0.014667450415458165, 0.012947456578299057, 0.012947456578299057, 0.012947456578299057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3]"
,,,"['natural language processing', 'other oriental languages', 'other languages', 'computer processing', 'NLP', 'text entries', 'East Asian', 'IM', 'possible\nfuture research directions', 'HCI', 'many\nEast Asian scripts', 'human-computer interaction', 'such tools', 'a cross disciplinary subject', 'a text service platform', 'Input Methods', 'software\nengineering', '(IM', 'the perspectives', 'their application', 'the study', 'the development', 'a number', 'these three perspectives', 'a design\nphilosophy', '  Intelligent', 'This paper', 'We', 'that', 'three']","[0.17483547366639413, 0.17348745602675888, 0.17052264466413242, 0.1364693993689864, 0.10901623460105411, 0.09471440994517484, 0.09137516636251261, 0.09049440392501144, 0.07193222216446744, 0.07160067420223962, 0.07001493578438685, 0.06744165641225522, 0.061662290733416766, 0.060346852621868924, 0.05982914598343006, 0.0577096969447701, 0.04850442396518715, 0.04179757477300807, 0.03413235131373351, 0.03394048595101694, 0.03152924275353356, 0.02638074740145481, 0.025009940944827714, 0.024786380288435758, 0.02221247271060983, 0.016515734620654372, 0.016515734620654372, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 2, 1, 1, 5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]"
,,,"['syntactic relations', 'syntactic networks', 'complexity', 'networks', 'English language acquisition', 'structure', 'structures', 'adult grammars', 'practical criteria', 'children', 'systematic criteria', 'ii', 'such machinery', 'constituency hierarchy', 'the syntactic machinery', 'early-child language', 'statistics', 'lexico-thematic\nrelations', 'English', 'i', 'a network', 'organization', 'free-speech corpora', 'such difficulty', 'the standard\nmeasures', 'corpora', '(known)\nnetwork properties', 'a grammar', 'the underlying\ngrammar', 'more practical issues', 'a well defined corpora annotation', 'its use', 'the use', 'the global patterns', 'the outcome', 'the size', 'a detailed example', 'a collection', 'the main claim', 'a well-defined concept', 'the paper', 'this paper', 'the projection', 'a net', 'the study', 'the power', 'thus, a global view', 'the role', 'a set', '  This paper', 'a reflection', 'the\nintrinsic features', 'the theoretical\nlevel', 'a look', 'the end', 'We', 'that', 'us', 'we', 'what', 'what one', 'which']","[0.1390298119409198, 0.1347700269579411, 0.10473072117809518, 0.10275614260691047, 0.09139119591011731, 0.08773883000220314, 0.08773883000220314, 0.08559283097619709, 0.08210695292147635, 0.07227267880876495, 0.07164539450609761, 0.06814607829057677, 0.0679653026847305, 0.06519794802765716, 0.05879285671481085, 0.05850537187391951, 0.05571204317156266, 0.05206329586886024, 0.05112579269997698, 0.048753234163054854, 0.04746102927598987, 0.04620765110343213, 0.04543571652252779, 0.04470885583462547, 0.04281456259054597, 0.04148953675706588, 0.03935862524134122, 0.039136859520131004, 0.03613813468289665, 0.03564210779936058, 0.03300721114861799, 0.029655728307475565, 0.029655728307475565, 0.02866905606741216, 0.026929818083321067, 0.026585087705278884, 0.025588131054929436, 0.02527850445280333, 0.024622550940936464, 0.024454875555920498, 0.024185539158615207, 0.024185539158615207, 0.024079044965385623, 0.02224499709757613, 0.022116405415905323, 0.021712650978314027, 0.0189270275783224, 0.01782020130631231, 0.017712955395009566, 0.017563160696318254, 0.01573054921373716, 0.013925131550158815, 0.013925131550158815, 0.013287435366383635, 0.011729326880120934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1]"
,,,"['various natural\nlanguage phenomena', 'our commonsense view', 'a compositional semantics', 'the way', 'the world', 'a strongly typed ontology', 'the semantics', 'such a structure', '  We', 'it', 'that', 'we']","[0.10513225634440582, 0.0825092789891348, 0.06380553326231321, 0.06227632147598344, 0.05684348399877877, 0.05129350662238299, 0.048698466129354294, 0.024112208912723754, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]"
,,,"['linear logic', 'game semantics', 'linear', 'various resource policies', 'multi- bracketing', 'exponential', 'bracketing', 'resources', 'that game semantics', 'an arena game model', 'af&#64257;ne', 'order', 'precision', 'a misleading conception', 'view', 'the usual notion', 'the belief', 'a categorical\nmodel', 'this revised point', 'the\nsimplicity', 'the contrary', '  The description', 'We', 'we']","[0.18442238101158606, 0.17431577339541354, 0.1350392765143205, 0.12700587239274783, 0.11815925142376271, 0.10235788531921924, 0.09984751787294772, 0.0989499585554475, 0.09244489907675586, 0.09132359335419694, 0.07850484037061536, 0.07692007344836364, 0.07538806912622728, 0.06431112876786473, 0.05219745800772348, 0.050663212438774974, 0.04336102137295397, 0.03912412134094368, 0.030730023878610548, 0.0245795164691665, 0.0187861155938419, 0.012042403339500289, 0.0, 0.0]","[3, 3, 5, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['Robertson', 'Walker', 'IDF', 'strong or complex assumptions', 'Sparck Joness probabilistic model', 'the new assumption', 'prior attempts', 'the inverse document frequency', 'an estimation problem', 'Sparck Joness', 'a solution', 'their\nstarting point', 'the\neffectiveness', 'a number', '1997', 'Those', 'We', 'that']","[0.1211716564472481, 0.11254590903520377, 0.1119387232186153, 0.10433613764164436, 0.09242590070689177, 0.07517379558800791, 0.07203210318020012, 0.07065407362097814, 0.07045287874650974, 0.06067239815533772, 0.04813219783150664, 0.027725169440922293, 0.023331766106305243, 0.02061468902811517, 0.0, 0.0, 0.0, 0.0]","[4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]"
,,,"['previous values', 'hash values', 'recursive hash families', 'memory', 'grams', 'irreducible polynomials', 'cyclic polynomials', 'bits', 'pairwise', 'time', 'randomized Karp-Rabin hash families', 'more speed', 'recursive hash\nfamilies', 'a performance bottleneck', 'sequences', 'an exponential amount', 'n consecutive symbols', 'these n-grams', 'Karp-Rabin', 'our implementations', '  Many applications', 'a more scalable\nalternative', 'We', 'we']","[0.19844221199531156, 0.18116929129880682, 0.11210819158071851, 0.10475905407032558, 0.09668270066624901, 0.09621974612985673, 0.09588227800321608, 0.08989074885196205, 0.08269377115745194, 0.07962586943141967, 0.07178068671220655, 0.06670196368311929, 0.06616276708046526, 0.06598535757651043, 0.05868845971215787, 0.05701692564909739, 0.04798343499948784, 0.03823242558590057, 0.034663425834766726, 0.03286087509348401, 0.028637226195465836, 0.01687464736432244, 0.0, 0.0]","[1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]"
,,,"['musical composition', 'tonal domains', 'probability distributions', 'different characters', 'literary and musical origin', 'tones', 'characters', 'appearance', 'segments', 'the characteristic tonal progression', 'detail', 'maximal\ncompositional divergence', 'second', 'changes', 'Jensen', 'such\nkind', 'The first sequence', 'a theatrical play', 'two symbolic\nsequences', 'the sonata', 'the action', 'a keyboard\nsonata', 'the sequences', 'the\nJensen-Shannon divergence', 'first', 'the\ngeographical setting', 'the segments', 'these segments', 'the\nsuccessive appearance', 'the twelve-tone scale', 'the play', 'the succession', 'the frequency', 'the calculation', 'The algorithm', '  We', 'them', 'twelve', 'two']","[0.1429472115257798, 0.11244132348837757, 0.10344943021988541, 0.09718806732523674, 0.08536517335494088, 0.08321187598653981, 0.08170444874796005, 0.07818005961991664, 0.07547914010633996, 0.07410025130732592, 0.0730651146705382, 0.0640543796185095, 0.06263643570293692, 0.055451959021356356, 0.05471915936917821, 0.054206825927318146, 0.04762636846069079, 0.04512971342912078, 0.04446111229603567, 0.04220043366648878, 0.04217215161574194, 0.041992252786297826, 0.04081675940315165, 0.038259925579401874, 0.03554816595402222, 0.03500698419049065, 0.034862321486877484, 0.034862321486877484, 0.03481794898498053, 0.031179524558404365, 0.029915244570743838, 0.028110399325113274, 0.02674086988057009, 0.023960777472374427, 0.02107101639557186, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
