Topic,Count,Name
-1,13601,-1_of_the_to_and
0,3108,0_speech_asr_recognition_speaker
1,918,1_image_visual_captioning_multimodal
2,835,2_parsing_parser_dependency_grammar
3,814,3_summarization_summaries_summary_abstractive
4,807,4_hate_offensive_detection_social
5,534,5_clinical_medical_notes_patient
6,488,6_word_embeddings_embedding_similarity
7,466,7_gender_bias_biases_fairness
8,450,8_agent_instructions_agents_navigation
9,439,9_relation_extraction_re_relations
10,368,10_fewshot_prompt_prompts_augmentation
11,332,11_ner_named_entity_nested
12,322,12_qa_question_answering_answer
13,313,13_topic_topics_lda_latent
14,286,14_crosslingual_multilingual_languages_transfer
15,280,15_graph_knowledge_graphs_link
16,249,16_aspect_sentiment_absa_aspectbased
17,237,17_mt_translation_qe_translations
18,235,18_code_programming_software_program
19,232,19_mrc_comprehension_reading_answer
20,230,20_adversarial_attacks_attack_robustness
21,229,21_explanations_explanation_rationales_interpretability
22,224,22_law_zipfs_frequency_words
23,211,23_fake_news_detection_articles
24,209,24_biomedical_protein_medical_knowledge
25,209,25_legal_court_law_case
26,204,26_nmt_translation_machine_attention
27,201,27_commonsense_reasoning_knowledge_winograd
28,193,28_responses_response_dialogue_conversation
29,192,29_translation_nmt_multilingual_bleu
30,190,30_citation_scientific_papers_citations
31,171,31_retrieval_ranking_query_dense
32,171,32_privacy_private_differential_federated
33,168,33_transformer_selfattention_attention_transformers
34,163,34_generation_text_decoding_generated
35,160,35_nli_inference_biases_premise
36,156,36_nmt_translation_machine_backtranslation
37,149,37_political_misinformation_news_media
38,148,38_video_videos_captioning_temporal
39,147,39_pos_tagging_tagger_taggers
40,147,40_vqa_visual_question_answering
41,146,41_forgetting_continual_lifelong_probing
42,144,42_story_stories_narrative_plot
43,139,43_sense_wsd_disambiguation_senses
44,137,44_bilingual_crosslingual_embeddings_bli
45,137,45_dst_tracking_dialogue_state
46,135,46_depression_mental_suicide_health
47,131,47_sql_texttosql_database_schema
48,130,48_claim_factchecking_evidence_claims
49,127,49_style_transfer_formality_content
50,126,50_simplification_readability_ts_assessment
51,126,51_discourse_rst_parsing_implicit
52,124,52_keyphrase_keyphrases_extraction_document
53,121,53_financial_stock_market_price
54,119,54_event_extraction_events_argument
55,117,55_argument_argumentation_argumentative_arguments
56,115,56_emotion_emotions_intensity_emotional
57,112,57_linking_entity_el_mentions
58,110,58_srl_role_labeling_semantic
59,109,59_dialog_visual_multimodal_avsd
60,106,60_coreference_resolution_mention_mentions
61,100,61_nlg_metrics_evaluation_generation
62,99,62_paraphrase_paraphrases_paraphrasing_generation
63,98,63_sarcasm_sarcastic_irony_detection
64,96,64_empathetic_empathy_emotion_emotional
65,96,65_emotion_ser_recognition_speech
66,95,66_change_diachronic_semantic_time
67,93,67_distillation_teacher_student_kd
68,91,68_music_lyrics_musical_song
69,91,69_reasoning_llms_prompting_cot
70,89,70_sign_deaf_asl_fingerspelling
71,88,71_latent_variational_vae_posterior
72,87,72_covid19_vaccine_vaccines_tweets
73,86,73_amr_parsing_meaning_parser
74,86,74_recurrent_rnn_rnns_lstm
75,85,75_ontology_taxonomy_ontologies_taxonomies
76,85,76_gec_correction_grammatical_error
77,84,77_label_labels_classification_multilabel
78,84,78_questions_question_generation_answer
79,81,79_sentiment_persian_analysis_classification
80,81,80_clustering_cluster_news_events
81,80,81_active_al_stopping_learning
82,80,82_wikipedia_editors_articles_wikidata
83,80,83_quantum_circuit_circuits_computing
84,79,84_stance_detection_targets_tweets
85,78,85_poetry_poems_poem_chinese
86,78,86_compositional_generalization_scan_generalize
87,78,87_product_ecommerce_attribute_ad
88,78,88_summarization_dialogue_meeting_summaries
89,77,89_intent_intents_utterances_detection
90,76,90_translation_machine_smt_rbmt
91,75,91_dialogue_tod_dialog_taskoriented
92,75,92_humor_pun_humorous_puns
93,74,93_transformer_pruning_moe_sparse
94,74,94_math_mathematical_mwp_mwps
95,74,95_morphological_inflection_morphology_languages
96,74,96_crisis_disaster_tweets_disasters
97,73,97_arabic_plagiarism_dialect_dialects
98,72,98_dialogue_evaluation_conversational_dialog
99,69,99_gans_gan_discriminator_adversarial
100,68,100_persona_personalized_responses_personas
101,67,101_mmt_multimodal_translation_visual
102,66,102_domain_nmt_adaptation_indomain
103,66,103_annotation_capsule_classification_routing
104,65,104_automata_automaton_finitestate_finite
105,65,105_emotion_erc_emotions_conversation
106,64,106_dementia_ad_alzheimers_disease
107,63,107_authorship_author_av_attribution
108,63,108_alignment_ea_kgs_entity
109,60,109_codeswitching_cs_codeswitched_multilingual
110,59,110_pruning_bert_compression_glue
111,59,111_sentiment_opinion_reviews_mining
112,59,112_metaphor_metaphors_simile_metaphorical
113,58,113_emoji_emojis_emoticons_sentiment
114,58,114_hebrew_morphological_kurdish_analyzer
115,57,115_causal_causality_relations_treatment
116,57,116_sense_senses_word_polysemous
117,57,117_dialogue_dialog_response_opendomain
118,57,118_requirements_logic_business_asp
119,56,119_masking_pretraining_bert_finetuning
120,56,120_graph_gnn_gnns_node
121,56,121_nat_nonautoregressive_autoregressive_translation
122,55,122_kbqa_questions_question_answering
123,55,123_layout_document_documents_images
124,55,124_pretraining_tasks_bert_multitask
125,54,125_medical_questions_question_qa
126,53,126_sentence_embeddings_similarity_embedding
127,53,127_policy_dialogue_reinforcement_dialog
128,52,128_slang_social_tweets_twitter
